scheduler,workload,repetition,participants,jains_fairness_index
fairshare,cpubound,1,1,1.000000
fairshare,cpubound,2,1,1.000000
fairshare,cpubound,3,1,1.000000
fairshare,iobound,1,1,0.000000
fairshare,iobound,2,1,0.000000
fairshare,iobound,3,1,0.000000
fairshare,mixed,1,1,0.000000
fairshare,mixed,3,1,1.000000
fairshare,starvation,1,82,0.031865
fairshare,starvation,2,82,0.031359
fairshare,starvation,3,82,0.023902
vanilla,cpubound,1,1,1.000000
vanilla,cpubound,2,1,1.000000
vanilla,cpubound,3,1,1.000000
vanilla,iobound,1,1,1.000000
vanilla,iobound,2,1,0.000000
vanilla,iobound,3,1,0.000000
vanilla,mixed,2,1,0.000000
vanilla,mixed,3,1,0.000000
vanilla,starvation,1,82,0.123476
vanilla,starvation,2,82,0.038691
vanilla,starvation,3,82,0.055749
