scheduler,workload,repetition,pid,cpu_ticks,wait_ticks,response_ticks,turnaround_ticks,context_switches
fairshare,cpubound,1,3,3,0,0,3,9
fairshare,cpubound,2,3,2,0,0,2,8
fairshare,cpubound,3,3,2,0,0,2,8
fairshare,iobound,1,3,0,0,0,60,66
fairshare,iobound,2,3,0,0,0,60,66
fairshare,iobound,3,3,0,0,0,60,66
fairshare,mixed,1,3,0,0,0,40,46
fairshare,mixed,3,3,1,0,0,41,47
fairshare,starvation,1,3,2,22,0,31,90
fairshare,starvation,1,4,5,6,1,11,6
fairshare,starvation,1,5,0,4,4,4,1
fairshare,starvation,1,6,0,4,4,4,1
fairshare,starvation,1,7,0,4,4,4,1
fairshare,starvation,1,8,0,5,5,5,1
fairshare,starvation,1,9,0,0,0,0,1
fairshare,starvation,1,10,0,1,1,1,1
fairshare,starvation,1,11,0,1,1,1,1
fairshare,starvation,1,12,0,1,1,1,1
fairshare,starvation,1,13,0,0,0,0,1
fairshare,starvation,1,14,0,0,0,0,1
fairshare,starvation,1,15,0,0,0,0,1
fairshare,starvation,1,16,0,0,0,0,1
fairshare,starvation,1,17,0,0,0,0,1
fairshare,starvation,1,18,0,0,0,0,1
fairshare,starvation,1,19,1,18,0,19,2
fairshare,starvation,1,20,0,1,1,1,1
fairshare,starvation,1,21,0,0,0,0,1
fairshare,starvation,1,22,0,0,0,0,1
fairshare,starvation,1,23,0,1,1,1,1
fairshare,starvation,1,24,0,1,1,1,1
fairshare,starvation,1,25,0,0,0,0,1
fairshare,starvation,1,26,0,1,1,1,1
fairshare,starvation,1,27,0,1,1,1,1
fairshare,starvation,1,28,0,2,2,2,1
fairshare,starvation,1,29,0,0,0,0,1
fairshare,starvation,1,30,0,0,0,0,1
fairshare,starvation,1,31,0,1,1,1,1
fairshare,starvation,1,32,0,1,1,1,1
fairshare,starvation,1,33,0,0,0,0,1
fairshare,starvation,1,34,0,1,1,1,1
fairshare,starvation,1,35,0,1,1,1,1
fairshare,starvation,1,36,0,2,2,2,1
fairshare,starvation,1,37,0,0,0,0,1
fairshare,starvation,1,38,0,0,0,0,1
fairshare,starvation,1,39,0,1,1,1,1
fairshare,starvation,1,40,0,1,1,1,1
